id_avaliacao,id_reserva,nota_geral,nota_limpeza,nota_atendimento,nota_custo_beneficio,comentario,data_avaliacao
2000,1293,7.4,7.2,8.0,9.8,,2025-03-12
2001,1279,6.8,8.9,10.0,9.1,Staff prestativo e atencioso.,2025-08-29
2002,1149,6.7,7.0,9.5,9.6,Staff prestativo e atencioso.,2025-04-21
2003,1440,8.0,8.7,7.1,6.4,Superou as expectativas.,2025-10-28
2004,1132,9.3,8.6,6.3,9.6,Superou as expectativas.,2025-07-29
2005,1170,-1,9.5,7.6,6.3,Hotel muito bem localizado.,2025-05-11
2006,1180,6.6,7.6,5.6,7.0,Superou as expectativas.,2025-02-05
2007,1102,7.0,8.8,8.1,7.9,"Ótima experiência, voltarei!",2025-06-26
2008,1068,6.9,6.7,6.1,9.6,Staff prestativo e atencioso.,2025-04-15
2009,1181,5.7,7.8,8.0,6.8,Superou as expectativas.,2025-10-27
2010,1281,8.6,7.4,"9,5",6.0,"Atendimento excelente, quarto limpo.",2025-08-06
2011,1393,6.7,7.1,8.0,6.4,"Pequenos detalhes a melhorar, mas gostei.",2025-02-12
2012,1398,8.7,8.4,9.2,5.9,Hotel muito bem localizado.,2025-09-29
2013,1069,6.1,6.1,8.0,5.6,"Pequenos detalhes a melhorar, mas gostei.",2025-06-27
2014,1464,7.2,7.1,9.0,6.5,,2025-10-26
2015,1367,6.2,9.0,9.5,9.1,Staff prestativo e atencioso.,2025-03-04
2016,1496,6.9,8.8,6.2,8.4,"Pequenos detalhes a melhorar, mas gostei.",2025-07-20
2017,1309,9.7,6.5,9.6,9.1,Café da manhã variado e delicioso.,2025-02-09
2018,1450,7.5,9.1,9.4,5.9,"Atendimento excelente, quarto limpo.",2025-05-12
2019,1433,9.0,7.2,6.9,5.7,Staff prestativo e atencioso.,2025-10-06
2020,1162,-1,6.2,9.7,9.5,"Pequenos detalhes a melhorar, mas gostei.",2025-09-04
2021,1274,6.8,7.7,9.1,5.7,"Atendimento excelente, quarto limpo.",2025-03-02
2022,1284,8.6,9.3,8.5,9.1,"Ótima experiência, voltarei!",2025-07-31
2023,1159,9.2,8.2,8.0,8.6,"Ótima experiência, voltarei!",2025-11-06
2024,1114,8.8,7.4,8.7,9.0,"Atendimento excelente, quarto limpo.",2025-06-06
2025,1339,7.3,,6.6,6.7,,2025-05-27
2026,1493,7.5,8.0,5.6,6.4,"Atendimento excelente, quarto limpo.",2025-08-11
2027,1419,6.9,10.0,6.6,8.1,Staff prestativo e atencioso.,2025-07-11
2028,1252,5.5,8.4,7.8,9.7,Superou as expectativas.,2025-06-11
2029,1066,6.2,6.5,7.5,7.7,,2025-10-22
2030,1391,7.2,6.2,8.8,7.7,Hotel muito bem localizado.,2025-04-30
2031,1488,8.3,9.6,6.3,7.6,Café da manhã variado e delicioso.,2025-04-17
2032,1346,9.3,6.7,8.4,8.5,"Pequenos detalhes a melhorar, mas gostei.",2025-05-14
2033,1230,5.8,6.6,6.5,8.7,Staff prestativo e atencioso.,2025-01-27
2034,1500,8.0,6.6,7.0,8.0,Superou as expectativas.,2025-06-10
2035,1034,5.9,8.3,9.7,7.5,"Quarto confortável, vista incrível.",2025-09-27
2036,1194,9.7,8.5,6.3,9.6,Boa relação custo-benefício.,2025-02-22
2037,1412,8.1,6.8,8.8,6.0,"Quarto confortável, vista incrível.",2025-09-16
2038,1005,6.1,6.9,6.7,7.5,"Ótima experiência, voltarei!",2025-03-15
2039,1311,6.5,8.2,9.3,7.2,"Quarto confortável, vista incrível.",2025-08-19
2040,1153,9.5,6.6,ótimo,5.8,"Ótima experiência, voltarei!",2025-05-09
2041,1267,6.5,7.0,6.7,9.7,"Ótima experiência, voltarei!",2025-07-11
2042,1396,6.0,7.5,8.6,9.9,"Quarto confortável, vista incrível.",2025-05-18
2043,1065,7.4,9.4,9.0,9.6,Boa relação custo-benefício.,2025-10-12
2044,1462,8.7,9.1,6.7,6.6,"Ótima experiência, voltarei!",2025-02-02
2045,1386,6.7,8.3,6.7,6.9,,2025-09-03
2046,1147,6.5,8.5,7.8,8.2,Boa relação custo-benefício.,2025-06-05
2047,1430,9.0,6.0,5.6,7.7,Superou as expectativas.,2025-04-26
2048,1043,9.1,8.9,7.8,6.6,"Pequenos detalhes a melhorar, mas gostei.",2025-06-29
2049,1265,9.6,7.3,6.4,8.2,Boa relação custo-benefício.,2025-09-02
2050,1097,8.8,7.0,8.2,8.6,"Ótima experiência, voltarei!",2025-04-14
2051,1471,5.9,6.1,7.3,7.4,,2025-05-29
2052,1122,5.6,6.0,6.9,6.4,Hotel muito bem localizado.,2025-08-13
2053,1325,10.0,9.2,9.5,6.3,"Atendimento excelente, quarto limpo.",2025-10-12
2054,1131,6.8,6.3,7.4,6.9,"Atendimento excelente, quarto limpo.",2025-10-20
2055,1375,-1,5.9,6.7,7.9,Boa relação custo-benefício.,2025-07-16
2056,1418,6.2,6.7,6.1,8.9,Hotel muito bem localizado.,2025-07-13
2057,1031,7.6,6.1,6.8,7.7,"Pequenos detalhes a melhorar, mas gostei.",2025-05-11
2058,1083,9.2,6.6,6.6,6.3,Boa relação custo-benefício.,2025-09-10
2059,1015,6.4,7.8,9.1,6.5,"Quarto confortável, vista incrível.",2025-07-29
2060,1128,7.8,6.5,7.5,6.2,"Ótima experiência, voltarei!",2025-08-02
2061,1350,8.8,8.8,8.1,5.9,Staff prestativo e atencioso.,2025-06-26
2062,1308,7.4,6.0,5.5,9.4,Hotel muito bem localizado.,2025-08-18
2063,1432,6.8,6.0,8.8,8.7,"Atendimento excelente, quarto limpo.",2025-09-04
2064,1438,8.5,6.4,8.3,7.0,Café da manhã variado e delicioso.,2025-01-15
2065,1448,7.3,7.8,7.5,9.8,Superou as expectativas.,2025-10-25
2066,1109,8.3,6.5,6.1,8.7,"Pequenos detalhes a melhorar, mas gostei.",2025-01-27
2067,1227,9.6,9.3,9.1,8.3,,2025-09-22
2068,1004,8.7,9.8,8.2,8.0,"Pequenos detalhes a melhorar, mas gostei.",2025-08-07
2069,1280,6.9,5.6,8.2,6.2,Staff prestativo e atencioso.,2025-08-08
2070,1244,5.8,6.9,8.5,6.8,"Quarto confortável, vista incrível.",2025-06-08
