id_reserva,id_hospede,id_quarto,id_hotel,data_checkin,data_checkout,canal_reserva,valor_diaria,status_reserva,data_reserva
1,203,Q026,3,2024-10-28,2024-10-29,Site Próprio,2344.25,Confirmada,2024-10-21
2,30,Q033,3,2024-06-03,2024-06-07,Site Próprio,469.17,Confirmada,2024-05-07
3,47,Q004,1,2024-07-18,2024-07-25,Site Próprio,2358.47,Confirmada,2024-07-10
4,322,Q023,2,2024-08-19,2024-08-20,Telefone,1743.13,Confirmada,2024-08-15
5,286,Q013,2,2023-05-17,2023-05-22,Agência de Viagem,617.85,Confirmada,2023-05-09
6,287,Q049,5,2024-11-29,2024-12-02,Site Próprio,1733.08,No-show,2024-10-19
7,50,Q018,2,2024-07-14,2024-07-26,Site Próprio,1689.14,Confirmada,2024-06-04
8,349,Q020,2,2024-06-28,2024-07-05,Expedia,1437.28,Confirmada,2024-04-29
9,154,Q040,4,2023-09-12,2023-09-25,Booking.com,2032.44,Confirmada,2023-08-27
10,154,Q010,1,2024-06-21,2024-06-29,Expedia,2110.09,Confirmada,2024-06-02
11,61,Q046,5,2024-06-08,2024-06-06,Booking.com,2180.71,Confirmada,2024-05-29
12,21,Q041,4,2024-11-15,2024-11-17,Telefone,1711.22,Confirmada,2024-09-19
13,356,Q029,3,2023-12-25,2024-01-04,Agência de Viagem,1728.73,Confirmada,2023-11-25
14,139,Q002,1,2024-04-30,2024-05-12,Site Próprio,404.71,Confirmada,2024-03-16
15,296,Q034,3,2024-11-28,2024-12-12,Agência de Viagem,975.72,Confirmada,2024-11-03
16,237,Q024,3,2023-12-30,2024-01-02,Telefone,548.59,Overbooking,2023-12-26
17,67,Q017,2,2023-09-11,2023-09-18,Agência de Viagem,2587.88,Overbooking,2023-08-10
18,230,Q003,1,2024-02-16,2024-02-25,Expedia,2502.63,Overbooking,2023-12-25
19,143,Q043,4,2024-12-24,2024-12-31,Expedia,1990.94,no-show,2024-11-29
20,43,Q015,2,2023-06-30,2023-07-03,Booking.com,1929.22,Confirmada,2023-06-29
21,94,Q044,4,2023-09-27,2023-10-02,Site Próprio,621.47,Confirmada,2023-08-23
22,290,Q033,3,2023-11-23,2023-11-26,Telefone,2673.07,Confirmada,2023-10-12
23,400,Q008,1,2024-11-27,2024-12-10,Telefone,-174.66,Confirmada,2024-11-01
24,247,Q036,4,2024-10-11,2024-10-18,Site Próprio,736.05,Confirmada,2024-09-27
25,57,Q037,4,2023-12-15,2023-12-25,Site Próprio,511.07,Confirmada,2023-11-08
26,52,Q021,2,2024-01-08,2024-01-18,EXPEDIA,429.3,Confirmada,2023-12-25
27,77,Q051,5,2024-10-11,2024-10-16,Expedia,1785.81,Confirmada,2024-09-10
28,250,Q002,1,2024-04-22,2024-04-30,Agência de Viagem,1045.22,Confirmada,2024-04-12
29,176,Q012,1,2023-09-29,2023-10-07,Booking.com,1566.65,Confirmada,2023-09-15
30,76,Q050,5,2024-12-07,2024-12-16,Site Próprio,2183.26,Confirmada,2024-11-17
31,134,Q012,1,2024-06-14,2024-06-20,Booking.com,,Confirmada,2024-05-30
32,399,Q053,5,2024-05-29,2024-06-04,Booking.com,1813.73,Confirmada,2024-04-08
33,206,Q016,2,2023-08-21,2023-08-25,Telefone,1506.59,Confirmada,2023-07-05
34,144,Q001,1,2024-04-28,2024-05-03,Booking.com,23785.17,Confirmada,2024-04-05
35,187,Q040,4,2023-03-24,2023-03-28,Site Próprio,828.46,Confirmada,2023-03-11
36,248,Q027,3,2024-10-01,2024-10-11,Site Próprio,1472.66,Confirmada,2024-08-20
37,44,Q034,3,2024-11-07,2024-11-09,Agência de Viagem,2244.87,Confirmada,2024-09-19
38,92,Q020,2,2024-03-20,2024-04-02,Expedia,471.21,Cancelado,2024-02-02
39,206,Q042,4,2023-03-28,2023-04-09,Booking.com,683.51,Confirmada,2023-03-19
40,303,Q003,1,2024-04-21,2024-05-04,Booking.com,1809.51,Confirmada,2024-03-13
41,80,Q040,4,2024-07-15,2024-07-24,,304.56,Confirmada,2024-05-24
42,384,Q009,1,2023-05-23,2023-05-30,Booking.com,2356.7,Confirmada,2023-05-09
43,109,Q005,1,2023-10-27,2023-11-05,Booking.com,2197.38,Confirmada,2023-10-06
44,215,Q032,3,2023-05-15,2023-05-16,Expedia,2539.15,Confirmada,2023-04-02
45,216,Q053,5,2024-05-28,2024-05-31,Telefone,637.18,Confirmada,2024-04-25
46,398,Q008,1,2023-07-07,2023-07-05,Site Próprio,2228.9,Confirmada,2023-06-27
47,243,Q015,2,2024-09-25,2024-10-07,Site Próprio,1669.01,Confirmada,2024-09-04
48,285,Q053,5,2024-05-09,2024-05-22,Site Próprio,2502.23,Confirmada,2024-05-05
49,142,Q016,2,2023-02-13,2023-02-26,Site Próprio,1544.67,Confirmada,2023-01-08
50,227,Q002,1,2023-11-30,2023-12-10,Telefone,1795.65,Confirmada,2023-11-17
51,261,Q031,3,2024-06-30,2024-07-13,Agência de Viagem,1544.77,Confirmada,2024-07-04
52,287,Q049,5,2023-07-27,2023-08-10,Agência de Viagem,599.69,Confirmada,2023-07-19
53,162,Q042,4,2023-03-16,2023-03-27,Booking.com,1342.26,Confirmada,2023-03-02
54,398,Q025,3,2023-06-08,2023-06-20,Expedia,614.6,Confirmada,2023-04-12
55,113,Q020,2,2023-04-07,2023-04-14,Agência de Viagem,665.13,Confirmada,2023-02-23
56,362,Q015,2,2024-03-17,2024-03-26,Agência de Viagem,1114.75,Overbooking,2024-03-04
57,48,Q029,3,2024-01-10,2024-01-11,Expedia,1662.83,Overbooking,2023-12-12
58,170,Q007,1,2024-06-13,2024-06-23,Expedia,1556.27,Confirmada,2024-06-08
59,54,Q004,1,2023-03-28,2023-04-02,Expedia,350.95,Confirmada,2023-02-06
60,387,Q017,2,2023-05-13,2023-05-27,Agência de Viagem,2416.45,Confirmada,2023-03-30
61,77,Q030,3,2024-07-03,2024-07-12,Telefone,1511.26,Confirmada,2024-06-12
62,30,Q005,1,2024-12-05,2024-12-08,Agência de Viagem,2532.98,Confirmada,2024-11-17
63,46,Q011,1,2023-09-24,2023-09-26,Telefone,2433.38,CONFIRMADA,2023-09-19
64,233,Q025,3,2023-01-12,2023-01-18,Telefone,1315.29,Confirmada,2022-11-14
65,67,Q033,3,2023-02-14,2023-02-23,Booking.com,2642.22,Confirmada,2023-02-03
66,93,Q024,3,2023-07-26,2023-07-31,Expedia,1604.27,Confirmada,2023-07-12
67,257,Q031,3,2024-11-19,2024-11-22,Agencia de Viagem,1134.85,Confirmada,2024-11-17
68,8,Q024,3,2023-01-19,2023-01-31,Telefone,1655.18,Confirmada,2023-01-06
69,126,Q052,5,2024-04-02,2024-04-04,Agência de Viagem,1924.1,Confirmada,2024-02-27
70,158,Q043,4,2024-12-05,2024-12-09,Booking.com,1123.9,Confirmada,2024-10-12
71,178,Q019,2,2023-02-25,2023-03-11,Booking.com,286.35,Confirmada,2023-01-15
72,84,Q030,3,2023-02-26,2023-02-28,Agência de Viagem,2469.87,Confirmada,2023-01-14
73,125,Q033,3,2024-12-10,2024-12-15,Site Próprio,1421.61,Confirmada,2024-11-29
74,2,Q031,3,2023-09-27,2023-10-03,Expedia,2730.19,Confirmada,2023-08-22
75,18,Q027,3,2023-11-13,2023-11-17,Expedia,716.54,Confirmada,2023-10-22
76,244,Q036,4,2023-10-13,2023-10-22,Booking.com,882.86,Confirmada,2023-08-24
77,136,Q002,1,2023-04-02,2023-04-05,Agência de Viagem,1746.34,Confirmada,2023-03-07
78,632,Q005,1,2024-10-06,2024-10-10,Site Próprio,1743.24,Confirmada,2024-09-02
79,367,Q023,2,2024-09-02,2024-09-09,Expedia,2087.73,Confirmada,2024-08-01
80,371,Q017,2,2024-09-25,2024-10-06,Booking.com,361.66,Confirmada,2024-08-02
81,220,Q055,5,2024-12-18,2024-12-31,Telefone,605.23,Confirmada,2024-11-14
82,9,Q054,5,2024-12-03,2024-12-13,Booking.com,466.98,Confirmada,2024-11-30
83,185,Q023,2,2023-04-18,2023-04-25,Agência de Viagem,1674.24,Confirmada,2023-03-08
84,273,Q011,1,2024-11-28,2024-12-02,Agência de Viagem,922.67,Confirmada,2024-10-29
85,258,Q012,1,2024-07-02,2024-07-04,Telefone,418.43,Confirmada,2024-05-15
86,39,Q039,4,2023-09-29,2023-10-03,Booking.com,838.38,Confirmada,2023-08-18
