id_quarto,id_hotel,tipo_quarto,capacidade,valor_base,andar,vista
1,1,Standard,2.0,320.0,1,Jardim
2,1,Standard,2.0,320.0,2,Jardim
3,1,Standard,2.0,320.0,3,Jardim
4,1,Standard,2.0,320.0,4,Jardim
5,1,Superior,3.0,480.0,5,Mar
6,1,Superior,3.0,480.0,6,Mar
7,1,Superior,3.0,480.0,7,Mar
8,1,Luxo,4.0,750.0,8,Mar
9,1,Luxo,4.0,750.0,9,Mar
12,1,Suite Master,6.0,2200.0,12,Panorâmica
13,2,Standard,2.0,280.0,1,Jardim
14,2,Standard,2.0,280.0,2,Jardim
15,2,Standard,2.0,280.0,3,Jardim
16,2,Superior,3.0,420.0,4,Piscina
17,2,Superior,3.0,420.0,5,Piscina
18,2,Superior,3.0,420.0,6,Piscina
19,2,Luxo,4.0,680.0,7,Mar
20,2,Luxo,4.0,680.0,8,Mar
21,2,Suite,5.0,1100.0,9,Panorâmica
22,2,Suite,5.0,1100.0,10,Panorâmica
23,2,Suite Master,6.0,1950.0,11,Panorâmica
24,3,Standard,2.0,260.0,1,Jardim
25,3,Standard,2.0,260.0,2,Jardim
26,3,Standard,2.0,260.0,3,Jardim
27,3,Superior,3.0,400.0,4,Piscina
28,3,Superior,3.0,400.0,5,Piscina
29,3,Superior,3.0,400.0,6,Piscina
30,3,Luxo,4.0,640.0,7,Mar
31,3,Luxo,4.0,640.0,8,Mar
32,3,Suite,5.0,1050.0,9,Panorâmica
33,3,Suite,5.0,1050.0,10,Panorâmica
34,3,Suite Master,6.0,1900.0,11,Panorâmica
35,4,Standard,2.0,350.0,1,Cidade
36,4,Standard,2.0,350.0,2,Cidade
37,4,Standard,2.0,350.0,3,Cidade
38,4,Standard,2.0,350.0,4,Cidade
39,4,Superior,3.0,520.0,5,Cidade
40,4,Superior,3.0,520.0,6,Cidade
41,4,Luxo,4.0,820.0,7,Mar
42,4,Luxo,4.0,820.0,8,Mar
43,4,Suite,5.0,1350.0,9,Panorâmica
44,4,Suite Master,6.0,2500.0,10,Panorâmica
45,5,Standard,2.0,420.0,1,Cidade
46,5,Standard,2.0,420.0,2,Cidade
47,5,Standard,2.0,420.0,3,Cidade
48,5,Standard,2.0,420.0,4,Cidade
49,5,Superior,3.0,620.0,5,Cidade
50,5,Superior,3.0,620.0,6,Cidade
51,5,Superior,3.0,620.0,7,Cidade
52,5,Luxo,4.0,950.0,8,Cidade
53,5,Luxo,4.0,950.0,9,Cidade
55,5,Suite,5.0,1600.0,11,Panorâmica
56,5,Suite,5.0,1600.0,12,Panorâmica
57,5,Suite Master,6.0,2800.0,15,Panorâmica
