id_reserva,id_hospede,id_quarto,id_hotel,data_checkin,data_checkout,canal_reserva,valor_diaria,status_reserva,data_reserva
1,203,Q026,3,2024-10-28 00:00:00,2024-10-29 00:00:00,Site Próprio,2344.25,Confirmada,2024-10-21 00:00:00
2,30,Q033,3,2024-06-03 00:00:00,2024-06-07 00:00:00,Site Próprio,469.17,Confirmada,2024-05-07 00:00:00
3,47,Q004,1,2024-07-18 00:00:00,2024-07-25 00:00:00,Site Próprio,2358.47,Confirmada,2024-07-10 00:00:00
4,322,Q023,2,2024-08-19 00:00:00,2024-08-20 00:00:00,Telefone,1743.13,Confirmada,2024-08-15 00:00:00
5,286,Q013,2,2023-05-17 00:00:00,2023-05-22 00:00:00,Agência de Viagem,617.85,Confirmada,2023-05-09 00:00:00
6,287,Q049,5,2024-11-29 00:00:00,2024-12-02 00:00:00,Site Próprio,1733.08,No-show,2024-10-19 00:00:00
7,50,Q018,2,2024-07-14 00:00:00,2024-07-26 00:00:00,Site Próprio,1689.14,Confirmada,2024-06-04 00:00:00
8,349,Q020,2,2024-06-28 00:00:00,2024-07-05 00:00:00,Expedia,1437.28,Confirmada,2024-04-29 00:00:00
9,154,Q040,4,2023-09-12 00:00:00,2023-09-25 00:00:00,Booking.com,2032.44,Confirmada,2023-08-27 00:00:00
10,154,Q010,1,2024-06-21 00:00:00,2024-06-29 00:00:00,Expedia,2110.09,Confirmada,2024-06-02 00:00:00
12,21,Q041,4,2024-11-15 00:00:00,2024-11-17 00:00:00,Telefone,1711.22,Confirmada,2024-09-19 00:00:00
13,356,Q029,3,2023-12-25 00:00:00,2024-01-04 00:00:00,Agência de Viagem,1728.73,Confirmada,2023-11-25 00:00:00
14,139,Q002,1,2024-04-30 00:00:00,2024-05-12 00:00:00,Site Próprio,404.71,Confirmada,2024-03-16 00:00:00
15,296,Q034,3,2024-11-28 00:00:00,2024-12-12 00:00:00,Agência de Viagem,975.72,Confirmada,2024-11-03 00:00:00
16,237,Q024,3,2023-12-30 00:00:00,2024-01-02 00:00:00,Telefone,548.59,Overbooking,2023-12-26 00:00:00
17,67,Q017,2,2023-09-11 00:00:00,2023-09-18 00:00:00,Agência de Viagem,2587.88,Overbooking,2023-08-10 00:00:00
18,230,Q003,1,2024-02-16 00:00:00,2024-02-25 00:00:00,Expedia,2502.63,Overbooking,2023-12-25 00:00:00
19,143,Q043,4,2024-12-24 00:00:00,2024-12-31 00:00:00,Expedia,1990.94,No-show,2024-11-29 00:00:00
20,43,Q015,2,2023-06-30 00:00:00,2023-07-03 00:00:00,Booking.com,1929.22,Confirmada,2023-06-29 00:00:00
